capacity,n,mean,median,p95,sample_standard_deviation,ci95_low,ci95_high,ci95_half_width
16,30,6629368000.0,6628725000.0,6655440000.0,14033745.389423752,6624127713.349889,6634608286.650111,5240286.65011152
32,30,13691110000.0,13687950000.0,13731500000.0,18239637.58714369,13684299207.392717,13697920792.607283,6810792.607283155
