operation,n,mean,median,p95,sample_standard_deviation,ci95_low,ci95_high,ci95_half_width
FinalizeSession,30,2196.4238963333332,2180.576316,2287.59758,37.36450484401067,2182.4717609276518,2210.3760317390147,13.952135405681334
RecordPartyExecution,30,2195.580967588889,2183.2122625,2320.214010333333,47.6905888931185,2177.773009030591,2213.3889261471872,17.80795855829813
RegisterCommittee,30,2190.0774902,2184.7704135000004,2244.799415,27.822126610734042,2179.688537385891,2200.466443014109,10.388952814108926
RegisterInputAttestorKey,30,2151.7391458666666,2150.7145695,2178.544838,18.67811704022969,2144.7646223407587,2158.7136693925745,6.974523525907804
SubmitInputCommitment,30,2199.4013486666668,2189.670328,2247.521047,28.53824154960984,2188.7449941397576,2210.057703193576,10.6563545269093
SubmitSessionInput,30,2222.335184666667,2207.4269965000003,2305.82446,44.19225774045095,2205.833524429187,2238.836844904147,16.501660237480024
