operation,n,mean,median,p95,sample_standard_deviation,ci95_low,ci95_high,ci95_half_width
issue,30,14.408990866666667,14.1302405,17.216384,1.3832411594383909,13.892480129115983,14.92550160421735,0.5165107375506844
prove,30,415.1367438666667,410.704292,458.733774,19.608320599907906,407.8148766231408,422.4586111101926,7.32186724352588
revoke,30,1.4915264000000001,1.486345,1.688639,0.09538751731086745,1.4559081156660028,1.5271446843339975,0.03561828433399739
verify,30,52.84796683333333,51.74200999999999,58.358556,2.9125851568469523,51.760389661936124,53.93554400473054,1.087577171397205
witness_update,30,1.1310901333333334,1.1134985,1.2078220000000002,0.05638548270104537,1.1100354480686954,1.1521448185979715,0.021054685264638023
