capacity,n,mean,median,p95,sample_standard_deviation,ci95_low,ci95_high,ci95_half_width
16,30,128341.02337983334,127081.204878,144690.594966,10082.120875913613,124576.29757323024,132105.74918643644,3764.7258066030927
32,30,211552.5553064,210448.87868149998,224423.020358,3933.6297119640876,210083.7138322186,213021.3967805814,1468.8414741813872
