run_id,run_index,sample_class,capacity,release_commit,oci_digest,task_id_hash,session_id_hash,runtime_profile_verified,real_anoncred,real_mpc,mock,legacy,success,summary_sha256,raw_log_sha256,operation,transaction_id,endorsement_ms,ordering_submit_ms,event_wait_ms,total_ms
cap16-measured-01,1,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,35ae283b6620516d10edcc78c261fd3055ee271b7869c33d7460ecd5da2763b7,9d82e277b746d857ef95befecd9f6ef08d24398630b048b1ead21e0ce61d657a,True,True,True,False,False,True,c97d3a562762e48c58d0dc35c829025caa0d8afcce3fb18aa5f72cf1c344e8d7,6a143c2fb406e2aba9332655671819c9238069b4dba636a8926eb0d2031e0965,RegisterInputAttestorKey,845e9cabcf74f2606a3e69cab0e6121a2eaa5c7210163d56ed8a6425fac5ed0d,19.827885,4.148516,2129.751846,2153.728247
cap16-measured-01,1,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,35ae283b6620516d10edcc78c261fd3055ee271b7869c33d7460ecd5da2763b7,9d82e277b746d857ef95befecd9f6ef08d24398630b048b1ead21e0ce61d657a,True,True,True,False,False,True,c97d3a562762e48c58d0dc35c829025caa0d8afcce3fb18aa5f72cf1c344e8d7,6a143c2fb406e2aba9332655671819c9238069b4dba636a8926eb0d2031e0965,SubmitInputCommitment,826cc3c865a0e4f467b3127826c1ce3463ba1ce69447b9b00a8593673f008eab,53.420827,3.110511,2185.799778,2242.331116
cap16-measured-01,1,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,35ae283b6620516d10edcc78c261fd3055ee271b7869c33d7460ecd5da2763b7,9d82e277b746d857ef95befecd9f6ef08d24398630b048b1ead21e0ce61d657a,True,True,True,False,False,True,c97d3a562762e48c58d0dc35c829025caa0d8afcce3fb18aa5f72cf1c344e8d7,6a143c2fb406e2aba9332655671819c9238069b4dba636a8926eb0d2031e0965,SubmitInputCommitment,2012fd25058d201cac009634ceaaff0c288adbe8f0a3c53eda042c7eed2d757d,61.406476,8.274388,2151.891508,2221.572372
cap16-measured-01,1,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,35ae283b6620516d10edcc78c261fd3055ee271b7869c33d7460ecd5da2763b7,9d82e277b746d857ef95befecd9f6ef08d24398630b048b1ead21e0ce61d657a,True,True,True,False,False,True,c97d3a562762e48c58d0dc35c829025caa0d8afcce3fb18aa5f72cf1c344e8d7,6a143c2fb406e2aba9332655671819c9238069b4dba636a8926eb0d2031e0965,SubmitSessionInput,ec6a901c414fd166ccfe6859ae664517b4d24514e527f05747081c13aa067965,85.981533,2.283221,2148.854147,2237.118901
cap16-measured-01,1,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,35ae283b6620516d10edcc78c261fd3055ee271b7869c33d7460ecd5da2763b7,9d82e277b746d857ef95befecd9f6ef08d24398630b048b1ead21e0ce61d657a,True,True,True,False,False,True,c97d3a562762e48c58d0dc35c829025caa0d8afcce3fb18aa5f72cf1c344e8d7,6a143c2fb406e2aba9332655671819c9238069b4dba636a8926eb0d2031e0965,RecordPartyExecution,96a524f12e6bf844ded5e25fed505476ea980eca7b70a4f6e7384625421050a4,70.741286,3.237051,2184.579396,2258.557733
cap16-measured-01,1,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,35ae283b6620516d10edcc78c261fd3055ee271b7869c33d7460ecd5da2763b7,9d82e277b746d857ef95befecd9f6ef08d24398630b048b1ead21e0ce61d657a,True,True,True,False,False,True,c97d3a562762e48c58d0dc35c829025caa0d8afcce3fb18aa5f72cf1c344e8d7,6a143c2fb406e2aba9332655671819c9238069b4dba636a8926eb0d2031e0965,RecordPartyExecution,e3f0cf5eecc674f606157ba79419fc041104d95c7de1f2eae2b1290628918239,32.161764,3.247921,2136.167155,2171.57684
cap16-measured-01,1,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,35ae283b6620516d10edcc78c261fd3055ee271b7869c33d7460ecd5da2763b7,9d82e277b746d857ef95befecd9f6ef08d24398630b048b1ead21e0ce61d657a,True,True,True,False,False,True,c97d3a562762e48c58d0dc35c829025caa0d8afcce3fb18aa5f72cf1c344e8d7,6a143c2fb406e2aba9332655671819c9238069b4dba636a8926eb0d2031e0965,RecordPartyExecution,2ad9731220f41d82fe4ef3f9bac42f9b811f2c074bd5549eefa854f752621ccb,25.802811,2.431125,2154.764581,2182.998517
cap16-measured-01,1,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,35ae283b6620516d10edcc78c261fd3055ee271b7869c33d7460ecd5da2763b7,9d82e277b746d857ef95befecd9f6ef08d24398630b048b1ead21e0ce61d657a,True,True,True,False,False,True,c97d3a562762e48c58d0dc35c829025caa0d8afcce3fb18aa5f72cf1c344e8d7,6a143c2fb406e2aba9332655671819c9238069b4dba636a8926eb0d2031e0965,FinalizeSession,c1b8b3eba8233a5906cf024765a0f9196e50eec316f8f9fc3e745eaebe234d10,59.860072,3.387171,2145.999233,2209.246476
cap16-measured-02,2,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,b5f2f25e8bc332ef568f04d1ef564ba9268f52cdccd8ba434c343d9a59f0e0a9,176a8141f862c657785d50b1d7c902e9e5ed0d50351c1d9e827c390093c34b57,True,True,True,False,False,True,0ff19abeda6e66275e151d200110dcae04c1d79907eb71ec3490fb87c0a0fa03,607f73a962d10b6bd315fa5d599aed0ecea39ea44f2213f558a1aa87a7105fba,RegisterCommittee,7e333b45ead8f3a8fec195b694af0c42d4aab8cdb68a9dc9b5044e7302d9b55f,63.308082,5.895577,2146.685262,2215.888921
cap16-measured-02,2,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,b5f2f25e8bc332ef568f04d1ef564ba9268f52cdccd8ba434c343d9a59f0e0a9,176a8141f862c657785d50b1d7c902e9e5ed0d50351c1d9e827c390093c34b57,True,True,True,False,False,True,0ff19abeda6e66275e151d200110dcae04c1d79907eb71ec3490fb87c0a0fa03,607f73a962d10b6bd315fa5d599aed0ecea39ea44f2213f558a1aa87a7105fba,RegisterInputAttestorKey,3e62089b26b9481e2be4098d9bb867ad46861079fb855518dac722ab3111925d,22.315763,2.382843,2141.802889,2166.501495
