schema_version,operation,run_id,run_index,sample_class,latency_ns,latency_ms,proof_bytes,registry_bytes,success,production_path,mock,real_anoncred,release_commit,oci_digest,source_jsonl_sha256
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-00,0,warmup,15028090,15.028089999999999,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-01,1,warmup,14694637,14.694637,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-02,2,warmup,15501896,15.501895999999999,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-03,3,warmup,15567597,15.567597000000001,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-04,4,warmup,14752313,14.752313,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-05,5,measured,14164017,14.164017,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-06,6,measured,14897246,14.897245999999999,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-07,7,measured,14096464,14.096464,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-08,8,measured,16402516,16.402516,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-09,9,measured,17216384,17.216384,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-10,10,measured,17546162,17.546162,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-11,11,measured,13983014,13.983014,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-12,12,measured,14609044,14.609043999999999,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
SAIB-RETF/S4.1/anoncred-row/1,issue,s4.1-anoncred-issue-13,13,measured,14419045,14.419045,0,3398,True,True,False,True,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,c7374da4f402c9654c597717e4eba19011c245273f70ac212ebfdca4752d2a2b
