user_count,operation,layer,unit,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
1000,single_witness_refresh_after_revocation,regional,ms,value,30,30,30,1.000000000,420.605890000,417.443500000,28.110323689,463.067500000,410.109334351,431.102445649,2.045227358,394.471900000,552.162800000
1000,two_layer_claim_generation,two_layer,ms,value,30,30,30,1.000000000,839.448826667,833.361750000,22.399827580,877.455700000,831.084602927,847.813050406,2.045227358,810.024200000,884.448800000
1000,two_layer_hash_to_prime,two_layer,ms,value,30,30,30,1.000000000,4.100153333,4.066650000,1.382742922,7.009500000,3.583829217,4.616477449,2.045227358,2.017400000,7.029200000
1000,two_layer_member_addition,two_layer,ms,value,30,30,30,1.000000000,3.160570000,3.045500000,0.781980397,4.143700000,2.868574047,3.452565953,2.045227358,1.996100000,5.606100000
1000,two_layer_membership_verification,two_layer,ms,value,30,30,30,1.000000000,3.234093333,3.019800000,0.889858408,4.758000000,2.901815114,3.566371553,2.045227358,1.998700000,5.378000000
1000,two_layer_revocation,two_layer,ms,value,30,30,30,1.000000000,844.329916667,835.837200000,34.317732854,923.870700000,831.515478931,857.144354402,2.045227358,808.245400000,953.544300000
1000,two_layer_single_witness_refresh_after_revocation,two_layer,ms,value,30,30,30,1.000000000,845.828600000,836.015550000,49.601169482,911.359300000,827.307239610,864.349960390,2.045227358,791.182000000,1064.299000000
1000,witness_generation,global,ms,value,30,30,30,1.000000000,418.511136667,414.806350000,14.862593731,447.761200000,412.961359158,424.060914176,2.045227358,402.358200000,457.156400000
1000,witness_generation,regional,ms,value,30,30,30,1.000000000,420.937690000,415.253200000,17.845651445,456.944600000,414.274021678,427.601358322,2.045227358,394.993500000,469.243400000
500,hash_to_prime,global,ms,value,30,30,30,1.000000000,2.105336667,1.998000000,1.183828328,4.142000000,1.663288398,2.547384935,2.045227358,0.997000000,6.072900000
500,hash_to_prime,regional,ms,value,30,30,30,1.000000000,2.008020000,1.999600000,0.697670998,3.010400000,1.747505659,2.268534341,2.045227358,0.996300000,3.522900000
500,member_addition,global,ms,value,30,30,30,1.000000000,1.849776667,1.775400000,0.713961271,3.297300000,1.583179444,2.116373889,2.045227358,0.998400000,3.519000000
500,member_addition,regional,ms,value,30,30,30,1.000000000,1.914003333,2.004300000,0.663317360,3.353700000,1.666316837,2.161689830,2.045227358,0.998900000,3.469500000
