operation,evaluate_or_submit,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
preprocessing_signature_verification,evaluate,endorsement_ms,50,50,50,1.000000000,3.119030000,3.000750000,0.720346657,4.466300000,2.914309774,3.323750226,2.009574959,1.250300000,5.442000000
preprocessing_signature_verification,evaluate,ordering_submit_ms,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
preprocessing_signature_verification,evaluate,event_wait_ms,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
preprocessing_signature_verification,evaluate,total_ms,50,50,50,1.000000000,3.140412000,3.141350000,0.724890929,4.466300000,2.934400306,3.346423694,2.009574959,1.250300000,5.442000000
preprocessing_signature_verification,evaluate,input_bytes,50,50,50,1.000000000,1200.000000000,1200.000000000,0.000000000,1200.000000000,1200.000000000,1200.000000000,2.009574959,1200.000000000,1200.000000000
preprocessing_signature_verification,evaluate,output_bytes,50,50,50,1.000000000,22.000000000,22.000000000,0.000000000,22.000000000,22.000000000,22.000000000,2.009574959,22.000000000,22.000000000
result_finalization,submit,proposal_build_ms,50,50,50,1.000000000,0.042782000,0.000000000,0.146554017,0.534800000,0.001131815,0.084432185,2.009574959,0.000000000,0.535600000
result_finalization,submit,endorsement_ms,50,50,50,1.000000000,21.206476000,19.889600000,3.582087866,28.817500000,20.188458033,22.224493967,2.009574959,17.740200000,37.068700000
result_finalization,submit,ordering_submit_ms,50,50,50,1.000000000,2.997296000,2.739350000,0.751936549,4.612800000,2.783598027,3.210993973,2.009574959,2.095100000,5.460300000
result_finalization,submit,event_wait_ms,50,50,50,1.000000000,2055.617184000,2054.063950000,6.726083575,2071.357800000,2053.705652463,2057.528715537,2.009574959,2046.402600000,2082.759900000
result_finalization,submit,total_ms,50,50,50,1.000000000,2079.863738000,2077.919150000,7.992965593,2100.374000000,2077.592162627,2082.135313373,2.009574959,2067.536000000,2104.892000000
result_finalization,submit,input_bytes,50,50,50,1.000000000,2325.920000000,2326.000000000,0.565685425,2326.000000000,2325.759234003,2326.080765997,2.009574959,2322.000000000,2326.000000000
result_finalization,submit,output_bytes,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
task_submission,submit,proposal_build_ms,50,50,50,1.000000000,0.022174000,0.000000000,0.110124821,0.000000000,-0.009123124,0.053471124,2.009574959,0.000000000,0.600300000
task_submission,submit,endorsement_ms,50,50,50,1.000000000,282.951258000,278.299550000,14.695195873,325.851800000,278.774930120,287.127585880,2.009574959,268.904800000,339.956700000
task_submission,submit,ordering_submit_ms,50,50,50,1.000000000,3.501262000,2.691400000,2.157585381,9.514900000,2.888083104,4.114440896,2.009574959,2.069800000,10.108900000
task_submission,submit,event_wait_ms,50,50,50,1.000000000,2056.985478000,2056.519150000,5.828455054,2067.834200000,2055.329049631,2058.641906369,2.009574959,2048.653600000,2077.425600000
task_submission,submit,total_ms,50,50,50,1.000000000,2343.460172000,2339.211700000,14.936878670,2379.740500000,2339.215158639,2347.705185361,2.009574959,2326.165100000,2394.913600000
task_submission,submit,input_bytes,50,50,50,1.000000000,1142.960000000,1143.000000000,0.197948664,1143.000000000,1142.903743620,1143.016256380,2.009574959,1142.000000000,1143.000000000
task_submission,submit,output_bytes,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
valid_global_membership_verification,evaluate,proposal_build_ms,50,50,50,1.000000000,0.010122000,0.000000000,0.071573348,0.000000000,-0.010218918,0.030462918,2.009574959,0.000000000,0.506100000
valid_global_membership_verification,evaluate,endorsement_ms,50,50,50,1.000000000,286.377820000,285.809100000,13.681080556,313.369600000,282.489700465,290.265939535,2.009574959,263.056400000,322.154600000
valid_global_membership_verification,evaluate,ordering_submit_ms,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
valid_global_membership_verification,evaluate,event_wait_ms,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
valid_global_membership_verification,evaluate,total_ms,50,50,50,1.000000000,286.387942000,285.809100000,13.686343052,313.369600000,282.498326880,290.277557120,2.009574959,263.056400000,322.154600000
valid_global_membership_verification,evaluate,input_bytes,50,50,50,1.000000000,2193.000000000,2193.000000000,0.000000000,2193.000000000,2193.000000000,2193.000000000,2.009574959,2193.000000000,2193.000000000
valid_global_membership_verification,evaluate,output_bytes,50,50,50,1.000000000,78.000000000,78.000000000,0.000000000,78.000000000,78.000000000,78.000000000,2.009574959,78.000000000,78.000000000
valid_regional_membership_verification,evaluate,proposal_build_ms,50,50,50,1.000000000,0.025260000,0.000000000,0.126758095,0.000000000,-0.010764247,0.061284247,2.009574959,0.000000000,0.735500000
valid_regional_membership_verification,evaluate,endorsement_ms,50,50,50,1.000000000,273.320502000,271.944050000,8.780237446,291.381300000,270.825186473,275.815817527,2.009574959,259.724000000,301.869300000
valid_regional_membership_verification,evaluate,ordering_submit_ms,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
valid_regional_membership_verification,evaluate,event_wait_ms,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
valid_regional_membership_verification,evaluate,total_ms,50,50,50,1.000000000,273.345762000,271.944050000,8.778705079,291.381300000,270.850881967,275.840642033,2.009574959,259.724000000,301.869300000
valid_regional_membership_verification,evaluate,input_bytes,50,50,50,1.000000000,2195.000000000,2195.000000000,0.000000000,2195.000000000,2195.000000000,2195.000000000,2.009574959,2195.000000000,2195.000000000
valid_regional_membership_verification,evaluate,output_bytes,50,50,50,1.000000000,82.000000000,82.000000000,0.000000000,82.000000000,82.000000000,82.000000000,2.009574959,82.000000000,82.000000000
