"code_commit","image_digest","protocol_version","proof_backend","mpc_backend","mpc_program_digest","production_path","deployment_id","run_id","batch_id","request_id","task_id_hash","binding_tag","committee_epoch","regional_epoch","global_epoch","production_trace_sha256","production_trace_admission","legacy_path_calls","mock_path_calls","test_case","result","admissible_for_formal_performance"
"fa03890d23c18c9f302a79b154ed4549bde04aee","not-built-s1","SAIB-RETF/2","saib-mock-anoncred","saib-mock-mpc","development-only","false","in-memory-s1","20260714T051347Z","security-development","X1","development-aggregate","development-aggregate","3","7","11","development-only","reject","0","8","X1","pass","false"
"fa03890d23c18c9f302a79b154ed4549bde04aee","not-built-s1","SAIB-RETF/2","saib-mock-anoncred","saib-mock-mpc","development-only","false","in-memory-s1","20260714T051347Z","security-development","X2","development-aggregate","development-aggregate","3","7","11","development-only","reject","0","8","X2","pass","false"
"fa03890d23c18c9f302a79b154ed4549bde04aee","not-built-s1","SAIB-RETF/2","saib-mock-anoncred","saib-mock-mpc","development-only","false","in-memory-s1","20260714T051347Z","security-development","X3","development-aggregate","development-aggregate","3","7","11","development-only","reject","0","8","X3","pass","false"
"fa03890d23c18c9f302a79b154ed4549bde04aee","not-built-s1","SAIB-RETF/2","saib-mock-anoncred","saib-mock-mpc","development-only","false","in-memory-s1","20260714T051347Z","security-development","X4","development-aggregate","development-aggregate","3","7","11","development-only","reject","0","8","X4","pass","false"
