modulus_bits,hash_to_prime_bits,user_count,run_id,seed,deployment_id,warmups_discarded,operation,layer,value,unit,latency_ms,scope,setup_included,rsa_setup_included,success,error
2048,256,100,2,2026,local-e2-production-2048,1,two_layer_single_witness_refresh_after_revocation,two_layer,108.370200000,ms,108.370200000,sum for one remaining member's regional and global witnesses; not all members,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,membership_claim_json_size,two_layer,1920.000000000,bytes,,one regional+global context-bound membership claim JSON,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,public_accumulator_state_json_size,two_layer,11550.000000000,bytes,,two public accumulator states including active prime representatives; no RSA factors,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,hash_to_prime,regional,2.130900000,ms,2.130900000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,hash_to_prime,global,1.998900000,ms,1.998900000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,two_layer_hash_to_prime,two_layer,4.129800000,ms,4.129800000,sum for one regional and one global representative,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,member_addition,regional,2.167100000,ms,2.167100000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,member_addition,global,2.271700000,ms,2.271700000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,two_layer_member_addition,two_layer,4.438800000,ms,4.438800000,sum of one regional and one global member addition,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,witness_generation,regional,44.443800000,ms,44.443800000,fresh witness for one active member,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,witness_generation,global,41.778200000,ms,41.778200000,fresh witness for one active member,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,two_layer_claim_generation,two_layer,86.222000000,ms,86.222000000,sum of regional and global witness generation,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,membership_verification,regional,1.004900000,ms,1.004900000,one current regional witness,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,membership_verification,global,1.461000000,ms,1.461000000,one current global witness,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,two_layer_membership_verification,two_layer,2.465900000,ms,2.465900000,sum of current regional and global verification,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,revocation,regional,40.341000000,ms,40.341000000,remove one member and recompute the regional accumulator,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,revocation,global,41.910100000,ms,41.910100000,remove one member and recompute the global accumulator,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,two_layer_revocation,two_layer,82.251100000,ms,82.251100000,sum of regional and global removal/recomputation,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,regional,43.137800000,ms,43.137800000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,global,44.981600000,ms,44.981600000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,two_layer_single_witness_refresh_after_revocation,two_layer,88.119400000,ms,88.119400000,sum for one remaining member's regional and global witnesses; not all members,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,membership_claim_json_size,two_layer,1920.000000000,bytes,,one regional+global context-bound membership claim JSON,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,public_accumulator_state_json_size,two_layer,11550.000000000,bytes,,two public accumulator states including active prime representatives; no RSA factors,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,hash_to_prime,regional,2.002700000,ms,2.002700000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,hash_to_prime,global,2.426000000,ms,2.426000000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,two_layer_hash_to_prime,two_layer,4.428700000,ms,4.428700000,sum for one regional and one global representative,false,false,true,
