batch_size,run_id,seed,warmups_discarded,inner_repeat,descriptor_hash_ms,batch_hash_ms,hmac_generate_ms,hmac_verify_ms,signature_generate_ms,signature_verify_ms,total_preprocess_ms,pipeline_with_verification_ms,batch_hash_hex_chars,batch_digest_bytes,signature_der_bytes,success,error,protocol_version
10,35,12026,20,20,0.000000000,0.000000000,,,0.049990000,0.049950000,0.049990000,0.099940000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,36,12026,20,20,0.000000000,0.000000000,,,0.000000000,0.112330000,0.000000000,0.112330000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,37,12026,20,20,0.058370000,0.000000000,,,0.030615000,0.050280000,0.088985000,0.139265000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,38,12026,20,20,0.000000000,0.000000000,,,0.049975000,0.100030000,0.049975000,0.150005000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,39,12026,20,20,0.000000000,0.000000000,,,0.050110000,0.103375000,0.050110000,0.153485000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,40,12026,20,20,0.000000000,0.000000000,,,0.000000000,0.127495000,0.000000000,0.127495000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,41,12026,20,20,0.000000000,0.000000000,,,0.056685000,0.072495000,0.056685000,0.129180000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,42,12026,20,20,0.000000000,0.000000000,,,0.050140000,0.099880000,0.050140000,0.150020000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,43,12026,20,20,0.000000000,0.000000000,,,0.059200000,0.058305000,0.059200000,0.117505000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,44,12026,20,20,0.000000000,0.000000000,,,0.075200000,0.100185000,0.075200000,0.175385000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,45,12026,20,20,0.000000000,0.000000000,,,0.050110000,0.049990000,0.050110000,0.100100000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,46,12026,20,20,0.049950000,0.000000000,,,0.000000000,0.099975000,0.049950000,0.149925000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,47,12026,20,20,0.000000000,0.000000000,,,0.049995000,0.050255000,0.049995000,0.100250000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,48,12026,20,20,0.000000000,0.075275000,,,0.000000000,0.114965000,0.075275000,0.190240000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,49,12026,20,20,0.000000000,0.000000000,,,0.049970000,0.049930000,0.049970000,0.099900000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,50,12026,20,20,0.000000000,0.000000000,,,0.050060000,0.099930000,0.050060000,0.149990000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,51,12026,20,20,0.000000000,0.000000000,,,0.000000000,0.150025000,0.000000000,0.150025000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,52,12026,20,20,0.000000000,0.000000000,,,0.025485000,0.066850000,0.025485000,0.092335000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,53,12026,20,20,0.000000000,0.000000000,,,0.063535000,0.105135000,0.063535000,0.168670000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,54,12026,20,20,0.000000000,0.000000000,,,0.067190000,0.100020000,0.067190000,0.167210000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,55,12026,20,20,0.000000000,0.000000000,,,0.075275000,0.159850000,0.075275000,0.235125000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,56,12026,20,20,0.000000000,0.000000000,,,0.049940000,0.099980000,0.049940000,0.149920000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,57,12026,20,20,0.000000000,0.000000000,,,0.075000000,0.049965000,0.075000000,0.124965000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,58,12026,20,20,0.000000000,0.000000000,,,0.100975000,0.125795000,0.100975000,0.226770000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,59,12026,20,20,0.000000000,0.000000000,,,0.049935000,0.099935000,0.049935000,0.149870000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,60,12026,20,20,0.000000000,0.049980000,,,0.000000000,0.125205000,0.049980000,0.175185000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,61,12026,20,20,0.000000000,0.000000000,,,0.025805000,0.100585000,0.025805000,0.126390000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,62,12026,20,20,0.000000000,0.000000000,,,0.066300000,0.099980000,0.066300000,0.166280000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,63,12026,20,20,0.000000000,0.000000000,,,0.049920000,0.149970000,0.049920000,0.199890000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,64,12026,20,20,0.000000000,0.000000000,,,0.050075000,0.058320000,0.050075000,0.108395000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,65,12026,20,20,0.000000000,0.067255000,,,0.000000000,0.099940000,0.067255000,0.167195000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,66,12026,20,20,0.000000000,0.000000000,,,0.050015000,0.100090000,0.050015000,0.150105000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,67,12026,20,20,0.000000000,0.000000000,,,0.000000000,0.139740000,0.000000000,0.139740000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,68,12026,20,20,0.000000000,0.000000000,,,0.050810000,0.116680000,0.050810000,0.167490000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,69,12026,20,20,0.000000000,0.000000000,,,0.050490000,0.050055000,0.050490000,0.100545000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,70,12026,20,20,0.000000000,0.000000000,,,0.063290000,0.099915000,0.063290000,0.163205000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,71,12026,20,20,0.000000000,0.000000000,,,0.000000000,0.175760000,0.000000000,0.175760000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,72,12026,20,20,0.000000000,0.000000000,,,0.000000000,0.140975000,0.000000000,0.140975000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,73,12026,20,20,0.000000000,0.000000000,,,0.000000000,0.099915000,0.000000000,0.099915000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,74,12026,20,20,0.058515000,0.000000000,,,0.000000000,0.125740000,0.058515000,0.184255000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,75,12026,20,20,0.000000000,0.000000000,,,0.000000000,0.155630000,0.000000000,0.155630000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,76,12026,20,20,0.000000000,0.000000000,,,0.000000000,0.116355000,0.000000000,0.116355000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,77,12026,20,20,0.000000000,0.049980000,,,0.000000000,0.099985000,0.049980000,0.149965000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,78,12026,20,20,0.000000000,0.000000000,,,0.050000000,0.102865000,0.050000000,0.152865000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,79,12026,20,20,0.000000000,0.000000000,,,0.000000000,0.138740000,0.000000000,0.138740000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,80,12026,20,20,0.000000000,0.000000000,,,0.050360000,0.099945000,0.050360000,0.150305000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,81,12026,20,20,0.000000000,0.000000000,,,0.050075000,0.068195000,0.050075000,0.118270000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
