experiment,operation,run_id,seed,deployment_id,warmups_discarded,evaluate_or_submit,proposal_build_ms,endorsement_ms,ordering_submit_ms,event_wait_ms,total_ms,input_bytes,output_bytes,business_valid,success,error
E4,task_submission,18,2026,e4-20260713T113950.708594500,5,submit,0.000000000,280.608600000,5.266900000,2049.905300000,2335.780800000,1143,0,true,true,
E4,preprocessing_evidence_submission,18,2026,e4-20260713T113950.708594500,5,submit,0.000000000,16.694500000,2.373200000,2060.806500000,2079.874200000,1200,0,true,true,
E4,task_submission,19,2026,e4-20260713T113950.708594500,5,submit,0.000000000,276.846800000,2.716100000,2073.826800000,2353.389700000,1143,0,true,true,
E4,preprocessing_evidence_submission,19,2026,e4-20260713T113950.708594500,5,submit,0.000000000,16.461400000,2.641100000,2062.013200000,2081.115700000,1200,0,true,true,
E4,task_submission,20,2026,e4-20260713T113950.708594500,5,submit,0.000000000,272.781700000,2.651000000,2051.779400000,2327.212100000,1143,0,true,true,
E4,preprocessing_evidence_submission,20,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.138800000,2.968400000,2058.614600000,2078.721800000,1200,0,true,true,
E4,task_submission,21,2026,e4-20260713T113950.708594500,5,submit,0.000000000,275.479500000,2.099400000,2061.700000000,2339.278900000,1143,0,true,true,
E4,preprocessing_evidence_submission,21,2026,e4-20260713T113950.708594500,5,submit,0.000000000,16.587200000,2.866800000,2059.077800000,2078.531800000,1200,0,true,true,
E4,task_submission,22,2026,e4-20260713T113950.708594500,5,submit,0.000000000,283.451100000,3.198700000,2056.391700000,2343.041500000,1143,0,true,true,
E4,preprocessing_evidence_submission,22,2026,e4-20260713T113950.708594500,5,submit,0.000000000,16.252500000,1.568500000,2053.754600000,2071.575600000,1200,0,true,true,
E4,task_submission,23,2026,e4-20260713T113950.708594500,5,submit,0.000000000,275.685900000,10.108900000,2059.546600000,2345.341400000,1143,0,true,true,
E4,preprocessing_evidence_submission,23,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.194500000,3.653400000,2058.892100000,2079.740000000,1200,0,true,true,
E4,task_submission,24,2026,e4-20260713T113950.708594500,5,submit,0.000000000,275.605800000,9.951100000,2050.442300000,2335.999200000,1143,0,true,true,
E4,preprocessing_evidence_submission,24,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.053900000,2.626500000,2050.746100000,2070.426500000,1200,0,true,true,
E4,task_submission,25,2026,e4-20260713T113950.708594500,5,submit,0.000000000,278.711100000,3.255500000,2057.420600000,2339.387200000,1143,0,true,true,
E4,preprocessing_evidence_submission,25,2026,e4-20260713T113950.708594500,5,submit,0.000000000,22.948400000,5.052900000,2047.817800000,2075.819100000,1200,0,true,true,
E4,task_submission,26,2026,e4-20260713T113950.708594500,5,submit,0.000000000,296.544400000,3.150400000,2052.363500000,2352.058300000,1143,0,true,true,
E4,preprocessing_evidence_submission,26,2026,e4-20260713T113950.708594500,5,submit,0.000000000,15.875500000,3.286900000,2049.208200000,2068.370600000,1200,0,true,true,
E4,task_submission,27,2026,e4-20260713T113950.708594500,5,submit,0.000000000,281.935600000,2.637400000,2062.107200000,2346.680200000,1143,0,true,true,
E4,preprocessing_evidence_submission,27,2026,e4-20260713T113950.708594500,5,submit,0.000000000,18.329500000,2.106400000,2055.152900000,2075.588800000,1200,0,true,true,
E4,task_submission,28,2026,e4-20260713T113950.708594500,5,submit,0.508400000,284.602900000,2.104900000,2077.425600000,2364.641800000,1143,0,true,true,
E4,preprocessing_evidence_submission,28,2026,e4-20260713T113950.708594500,5,submit,0.000000000,18.122300000,2.206000000,2056.088800000,2076.417100000,1200,0,true,true,
E4,task_submission,29,2026,e4-20260713T113950.708594500,5,submit,0.000000000,289.594600000,2.102200000,2067.834200000,2359.531000000,1142,0,true,true,
E4,preprocessing_evidence_submission,29,2026,e4-20260713T113950.708594500,5,submit,0.000000000,16.430500000,2.116900000,2056.344200000,2074.891600000,1200,0,true,true,
E4,task_submission,30,2026,e4-20260713T113950.708594500,5,submit,0.000000000,273.965300000,3.176500000,2049.023300000,2326.165100000,1143,0,true,true,
E4,preprocessing_evidence_submission,30,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.652900000,2.648900000,2052.282100000,2072.583900000,1200,0,true,true,
E4,task_submission,31,2026,e4-20260713T113950.708594500,5,submit,0.000000000,277.007200000,8.937000000,2053.200300000,2339.144500000,1143,0,true,true,
E4,preprocessing_evidence_submission,31,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.787500000,2.104200000,2052.031100000,2071.922800000,1200,0,true,true,
E4,task_submission,32,2026,e4-20260713T113950.708594500,5,submit,0.000000000,280.707300000,2.687100000,2052.393000000,2335.787400000,1143,0,true,true,
E4,preprocessing_evidence_submission,32,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.432400000,2.072000000,2058.388000000,2077.892400000,1200,0,true,true,
E4,task_submission,33,2026,e4-20260713T113950.708594500,5,submit,0.600300000,278.067300000,3.527100000,2062.378900000,2344.573600000,1143,0,true,true,
E4,preprocessing_evidence_submission,33,2026,e4-20260713T113950.708594500,5,submit,0.000000000,18.666400000,2.600700000,2050.511700000,2071.778800000,1200,0,true,true,
E4,task_submission,34,2026,e4-20260713T113950.708594500,5,submit,0.000000000,301.176400000,2.665700000,2061.646300000,2365.488400000,1143,0,true,true,
E4,preprocessing_evidence_submission,34,2026,e4-20260713T113950.708594500,5,submit,0.000000000,20.879300000,2.652100000,2052.744800000,2076.276200000,1200,0,true,true,
E4,task_submission,35,2026,e4-20260713T113950.708594500,5,submit,0.000000000,279.423500000,2.637100000,2056.978200000,2339.038800000,1143,0,true,true,
E4,preprocessing_evidence_submission,35,2026,e4-20260713T113950.708594500,5,submit,0.000000000,19.134800000,2.618800000,2072.885500000,2094.639100000,1200,0,true,true,
E4,task_submission,36,2026,e4-20260713T113950.708594500,5,submit,0.000000000,282.652000000,2.695700000,2056.268600000,2341.616300000,1143,0,true,true,
E4,preprocessing_evidence_submission,36,2026,e4-20260713T113950.708594500,5,submit,0.000000000,16.512000000,2.970900000,2052.454600000,2071.937500000,1200,0,true,true,
E4,task_submission,37,2026,e4-20260713T113950.708594500,5,submit,0.000000000,280.079300000,2.083000000,2053.528900000,2335.691200000,1143,0,true,true,
E4,preprocessing_evidence_submission,37,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.569900000,2.648700000,2052.982100000,2073.200700000,1200,0,true,true,
E4,task_submission,38,2026,e4-20260713T113950.708594500,5,submit,0.000000000,284.594600000,2.879500000,2059.488300000,2346.962400000,1143,0,true,true,
E4,preprocessing_evidence_submission,38,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.798600000,2.619200000,2057.406800000,2077.824600000,1200,0,true,true,
E4,task_submission,39,2026,e4-20260713T113950.708594500,5,submit,0.000000000,271.312800000,2.334300000,2060.674800000,2334.321900000,1143,0,true,true,
E4,preprocessing_evidence_submission,39,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.432400000,3.166900000,2053.252900000,2073.852200000,1200,0,true,true,
E4,task_submission,40,2026,e4-20260713T113950.708594500,5,submit,0.000000000,276.797800000,9.514900000,2048.941700000,2335.254400000,1143,0,true,true,
E4,preprocessing_evidence_submission,40,2026,e4-20260713T113950.708594500,5,submit,0.574200000,22.200000000,5.458200000,2057.190900000,2085.423300000,1200,0,true,true,
E4,task_submission,41,2026,e4-20260713T113950.708594500,5,submit,0.000000000,334.280100000,3.478700000,2055.272100000,2393.030900000,1143,0,true,true,
E4,preprocessing_evidence_submission,41,2026,e4-20260713T113950.708594500,5,submit,0.000000000,16.937000000,2.682500000,2051.956700000,2071.576200000,1200,0,true,true,
E4,task_submission,42,2026,e4-20260713T113950.708594500,5,submit,0.000000000,273.983800000,2.069800000,2061.272700000,2337.326300000,1143,0,true,true,
E4,preprocessing_evidence_submission,42,2026,e4-20260713T113950.708594500,5,submit,0.000000000,18.386800000,4.655900000,2073.346800000,2096.389500000,1200,0,true,true,
E4,task_submission,43,2026,e4-20260713T113950.708594500,5,submit,0.000000000,278.197200000,2.160100000,2055.500400000,2335.857700000,1143,0,true,true,
E4,preprocessing_evidence_submission,43,2026,e4-20260713T113950.708594500,5,submit,0.000000000,18.167700000,2.680300000,2052.025300000,2072.873300000,1200,0,true,true,
E4,task_submission,44,2026,e4-20260713T113950.708594500,5,submit,0.000000000,276.073500000,2.150500000,2057.455500000,2335.679500000,1143,0,true,true,
