variant,run_id,paired_block_id,order_position,deployment_index,deployment_id,seed,warmups_discarded_per_deployment,users,orders,matched_pairs,input_hash,semantic_hash,canonical_result_hash,local_matching_ms,preprocessing_ms,membership_ms,committee_ms,proposal_build_ms,endorsement_ms,ordering_submit_ms,event_wait_ms,finalization_ms,state_query_ms,total_ms,success,error
RETF_A,3,3,3,1,e5-d1-20260713T120859.405885700,102426,1,10,10,8,6e0504b50ac9778c71607b13b4d21d51e0e29ec9647f342a0becbc5b66448d51,1031da69a00358364e82f6949a93a17033b62f10a3fd22a372a0d12b2a9fedc4,547b597dc80752115b752f92e9d3560030f160f2cf43d5da63e10cd7ec3340b4,0.506100000,0.000000000,459.941700000,0.000000000,0.000000000,298.569700000,2.636500000,2045.161000000,2346.367200000,6.355200000,2813.170200000,true,
RETF_C,3,3,4,1,e5-d1-20260713T120859.405885700,102426,1,10,10,8,6e0504b50ac9778c71607b13b4d21d51e0e29ec9647f342a0becbc5b66448d51,1031da69a00358364e82f6949a93a17033b62f10a3fd22a372a0d12b2a9fedc4,547b597dc80752115b752f92e9d3560030f160f2cf43d5da63e10cd7ec3340b4,0.000000000,0.000000000,0.000000000,5.465000000,0.000000000,9.377000000,2.651800000,2048.151500000,2060.180300000,5.245600000,2070.890900000,true,
Plain_RETF,3,3,5,1,e5-d1-20260713T120859.405885700,102426,1,10,10,8,6e0504b50ac9778c71607b13b4d21d51e0e29ec9647f342a0becbc5b66448d51,1031da69a00358364e82f6949a93a17033b62f10a3fd22a372a0d12b2a9fedc4,547b597dc80752115b752f92e9d3560030f160f2cf43d5da63e10cd7ec3340b4,0.527900000,0.000000000,0.000000000,0.000000000,0.000000000,7.498200000,2.103600000,2047.827800000,2057.429600000,5.335900000,2063.293400000,true,
Plain_RETF,4,4,1,1,e5-d1-20260713T120859.405885700,102526,1,10,10,8,8a297e2559830961a88b4f11f0785f42cca45f4714239e7a330c0c48759a2e36,b85d63c29af74f4fa23378a7db6e15d13e6820d782932aab11663caae0bd75ae,6639f06278558e8743a7b758bcc0bb6f712d1765fc2835c18988bbd9ab1a5216,0.532600000,0.000000000,0.000000000,0.000000000,0.529000000,6.847500000,4.816400000,2053.442500000,2065.635400000,8.547500000,2074.715500000,true,
RETF_C,4,4,2,1,e5-d1-20260713T120859.405885700,102526,1,10,10,8,8a297e2559830961a88b4f11f0785f42cca45f4714239e7a330c0c48759a2e36,b85d63c29af74f4fa23378a7db6e15d13e6820d782932aab11663caae0bd75ae,6639f06278558e8743a7b758bcc0bb6f712d1765fc2835c18988bbd9ab1a5216,0.000000000,0.000000000,0.000000000,8.450300000,0.000000000,14.143200000,2.927600000,2057.857000000,2074.927800000,6.804200000,2090.704100000,true,
PP_RETF,4,4,3,1,e5-d1-20260713T120859.405885700,102526,1,10,10,8,8a297e2559830961a88b4f11f0785f42cca45f4714239e7a330c0c48759a2e36,b85d63c29af74f4fa23378a7db6e15d13e6820d782932aab11663caae0bd75ae,6639f06278558e8743a7b758bcc0bb6f712d1765fc2835c18988bbd9ab1a5216,0.000000000,0.000000000,508.752400000,5.357300000,0.000000000,308.618700000,3.325700000,2047.124800000,2359.069200000,6.403900000,2879.582800000,true,
RETF_A,4,4,4,1,e5-d1-20260713T120859.405885700,102526,1,10,10,8,8a297e2559830961a88b4f11f0785f42cca45f4714239e7a330c0c48759a2e36,b85d63c29af74f4fa23378a7db6e15d13e6820d782932aab11663caae0bd75ae,6639f06278558e8743a7b758bcc0bb6f712d1765fc2835c18988bbd9ab1a5216,0.507100000,0.000000000,440.918100000,0.000000000,0.000000000,412.569100000,6.269100000,2056.187500000,2475.025700000,8.822100000,2925.806500000,true,
RETF_H,4,4,5,1,e5-d1-20260713T120859.405885700,102526,1,10,10,8,8a297e2559830961a88b4f11f0785f42cca45f4714239e7a330c0c48759a2e36,b85d63c29af74f4fa23378a7db6e15d13e6820d782932aab11663caae0bd75ae,6639f06278558e8743a7b758bcc0bb6f712d1765fc2835c18988bbd9ab1a5216,0.000000000,0.542900000,0.000000000,0.000000000,0.000000000,10.870700000,3.800500000,2070.969600000,2085.640800000,8.722900000,2095.436700000,true,
RETF_C,5,5,1,1,e5-d1-20260713T120859.405885700,102626,1,10,10,8,7d5f1ab2ae2ee3a615574cf488d762e0838c2676cef6185526f2b6440e7baa80,f47c5d87824b6fe6ee4789569f279f7aada7df9f474f68c98aaf8c59504f8701,14f18f696d3f6ac57f3f5b2c25f6e5844ca6654b5a4dae4829fefe3d1a7d9e42,0.000000000,0.000000000,0.000000000,5.601600000,0.000000000,12.245500000,3.196200000,2041.704800000,2057.146500000,6.181900000,2068.930000000,true,
RETF_H,5,5,2,1,e5-d1-20260713T120859.405885700,102626,1,10,10,8,7d5f1ab2ae2ee3a615574cf488d762e0838c2676cef6185526f2b6440e7baa80,f47c5d87824b6fe6ee4789569f279f7aada7df9f474f68c98aaf8c59504f8701,14f18f696d3f6ac57f3f5b2c25f6e5844ca6654b5a4dae4829fefe3d1a7d9e42,0.539100000,0.000000000,0.000000000,0.000000000,0.000000000,7.863100000,2.103600000,2049.827700000,2059.794400000,5.825300000,2066.158800000,true,
RETF_A,5,5,3,1,e5-d1-20260713T120859.405885700,102626,1,10,10,8,7d5f1ab2ae2ee3a615574cf488d762e0838c2676cef6185526f2b6440e7baa80,f47c5d87824b6fe6ee4789569f279f7aada7df9f474f68c98aaf8c59504f8701,14f18f696d3f6ac57f3f5b2c25f6e5844ca6654b5a4dae4829fefe3d1a7d9e42,0.739300000,0.000000000,431.234300000,0.000000000,0.000000000,287.259100000,2.144900000,2042.382700000,2331.786700000,6.026900000,2770.324200000,true,
PP_RETF,5,5,4,1,e5-d1-20260713T120859.405885700,102626,1,10,10,8,7d5f1ab2ae2ee3a615574cf488d762e0838c2676cef6185526f2b6440e7baa80,f47c5d87824b6fe6ee4789569f279f7aada7df9f474f68c98aaf8c59504f8701,14f18f696d3f6ac57f3f5b2c25f6e5844ca6654b5a4dae4829fefe3d1a7d9e42,0.000000000,0.000000000,432.882900000,3.629300000,0.000000000,290.447200000,3.174500000,2042.172200000,2335.793900000,4.842700000,2777.679800000,true,
Plain_RETF,5,5,5,1,e5-d1-20260713T120859.405885700,102626,1,10,10,8,7d5f1ab2ae2ee3a615574cf488d762e0838c2676cef6185526f2b6440e7baa80,f47c5d87824b6fe6ee4789569f279f7aada7df9f474f68c98aaf8c59504f8701,14f18f696d3f6ac57f3f5b2c25f6e5844ca6654b5a4dae4829fefe3d1a7d9e42,0.515700000,0.000000000,0.000000000,0.000000000,0.000000000,6.365200000,3.150600000,2049.487200000,2059.003000000,5.319000000,2064.837700000,true,
Plain_RETF,6,6,1,1,e5-d1-20260713T120859.405885700,102726,1,10,10,8,db7bed1c28c3938588fe00fbb3f166b8593cdab09e1ff77ecf643b696123424e,534b57d3b6880920ea62821582b5058c42c0272bb2cacc067bcb5bfd6af9b60b,0a1ebfa845f03b454242f9b2042a91702d6b565142bf23789dd31182b27cbd35,0.523800000,0.000000000,0.000000000,0.000000000,0.000000000,7.441000000,2.108200000,2045.010200000,2054.559400000,5.589500000,2060.672700000,true,
