orders,committee_size,t_priv,t_sig,run_id,seed,warmups_discarded,process_model,computation_mode,matched_pairs,input_encode_ms,sharing_ms,share_transfer_ms,reconstruction_ms,secure_sort_ms,plaintext_compute_sign_http_ms,threshold_response_ms,signature_verify_aggregate_ms,total_ms,request_payload_bytes,response_payload_bytes,total_payload_bytes,application_rounds,success,error
50,3,not_applicable_plaintext,2,27,3052053,5,independent_os_processes,committee-side plaintext comparison prototype,45,0.000000000,,,,,3.222200000,3.222200000,3.703400000,6.925600000,30615,238983,269598,1,true,
50,3,not_applicable_plaintext,2,28,3052054,5,independent_os_processes,committee-side plaintext comparison prototype,46,0.000000000,,,,,3.233500000,3.233500000,3.145400000,6.378900000,30642,242937,273579,1,true,
50,3,not_applicable_plaintext,2,29,3052055,5,independent_os_processes,committee-side plaintext comparison prototype,44,0.528300000,,,,,2.746600000,2.746600000,3.705100000,6.980000000,30612,234339,264951,1,true,
50,3,not_applicable_plaintext,2,30,3052056,5,independent_os_processes,committee-side plaintext comparison prototype,49,0.000000000,,,,,2.652500000,2.652500000,3.687000000,6.339500000,30594,254589,285183,1,true,
100,3,not_applicable_plaintext,2,1,3102027,5,independent_os_processes,committee-side plaintext comparison prototype,97,0.523300000,,,,,5.352700000,4.291400000,7.908500000,13.784500000,60558,498915,559473,1,true,
100,3,not_applicable_plaintext,2,2,3102028,5,independent_os_processes,committee-side plaintext comparison prototype,90,0.000000000,,,,,6.685600000,5.046000000,7.971400000,14.657000000,60534,471537,532071,1,true,
100,3,not_applicable_plaintext,2,3,3102029,5,independent_os_processes,committee-side plaintext comparison prototype,93,0.000000000,,,,,7.122000000,6.033500000,10.658000000,17.780000000,60567,483969,544536,1,true,
100,3,not_applicable_plaintext,2,4,3102030,5,independent_os_processes,committee-side plaintext comparison prototype,94,0.571300000,,,,,5.415100000,5.415100000,8.028200000,14.014600000,60576,487671,548247,1,true,
100,3,not_applicable_plaintext,2,5,3102031,5,independent_os_processes,committee-side plaintext comparison prototype,91,0.000000000,,,,,5.915000000,4.845800000,8.983700000,14.898700000,60522,475515,536037,1,true,
100,3,not_applicable_plaintext,2,6,3102032,5,independent_os_processes,committee-side plaintext comparison prototype,99,0.000000000,,,,,6.075000000,5.537800000,7.937800000,14.012800000,60552,507861,568413,1,true,
100,3,not_applicable_plaintext,2,7,3102033,5,independent_os_processes,committee-side plaintext comparison prototype,96,0.522100000,,,,,6.515600000,5.435600000,11.903400000,18.941100000,60603,495963,556566,1,true,
100,3,not_applicable_plaintext,2,8,3102034,5,independent_os_processes,committee-side plaintext comparison prototype,92,0.539800000,,,,,5.563100000,5.022100000,8.629700000,14.732600000,60558,479571,540129,1,true,
100,3,not_applicable_plaintext,2,9,3102035,5,independent_os_processes,committee-side plaintext comparison prototype,92,0.527900000,,,,,5.930900000,5.409000000,7.476500000,13.935300000,60573,479595,540168,1,true,
100,3,not_applicable_plaintext,2,10,3102036,5,independent_os_processes,committee-side plaintext comparison prototype,94,0.545400000,,,,,4.838700000,4.838700000,8.484000000,13.868100000,60567,487815,548382,1,true,
