variant,run_id,paired_block_id,deployment_index,deployment_id,seed,order_position,total_ms,plain_total_ms,delta_ms,relative_overhead_percent,input_hash_equal,semantic_hash_equal,success
Plain_RETF,10,10,1,e5-d1-20260713T120859.405885700,103126,1,2056.164400000,2056.164400000,0.000000000,0.000000000,true,true,true
RETF_A,10,10,1,e5-d1-20260713T120859.405885700,103126,2,2862.042000000,2056.164400000,805.877600000,39.193247388,true,true,true
RETF_C,10,10,1,e5-d1-20260713T120859.405885700,103126,4,2071.008300000,2056.164400000,14.843900000,0.721921846,true,true,true
RETF_H,10,10,1,e5-d1-20260713T120859.405885700,103126,5,2063.396200000,2056.164400000,7.231800000,0.351713122,true,true,true
PP_RETF,11,11,2,e5-d2-20260713T121119.183794400,202226,4,2791.688900000,2064.975400000,726.713500000,35.192356287,true,true,true
Plain_RETF,11,11,2,e5-d2-20260713T121119.183794400,202226,3,2064.975400000,2064.975400000,0.000000000,0.000000000,true,true,true
RETF_A,11,11,2,e5-d2-20260713T121119.183794400,202226,5,2791.238900000,2064.975400000,726.263500000,35.170564260,true,true,true
RETF_C,11,11,2,e5-d2-20260713T121119.183794400,202226,1,2068.133900000,2064.975400000,3.158500000,0.152955817,true,true,true
RETF_H,11,11,2,e5-d2-20260713T121119.183794400,202226,2,2056.740900000,2064.975400000,-8.234500000,-0.398769884,true,true,true
PP_RETF,12,12,2,e5-d2-20260713T121119.183794400,202326,3,2780.966500000,2072.472100000,708.494400000,34.185955989,true,true,true
Plain_RETF,12,12,2,e5-d2-20260713T121119.183794400,202326,4,2072.472100000,2072.472100000,0.000000000,0.000000000,true,true,true
RETF_A,12,12,2,e5-d2-20260713T121119.183794400,202326,1,2819.572500000,2072.472100000,747.100400000,36.048755493,true,true,true
RETF_C,12,12,2,e5-d2-20260713T121119.183794400,202326,2,2066.698200000,2072.472100000,-5.773900000,-0.278599649,true,true,true
RETF_H,12,12,2,e5-d2-20260713T121119.183794400,202326,5,2066.395400000,2072.472100000,-6.076700000,-0.293210220,true,true,true
PP_RETF,13,13,2,e5-d2-20260713T121119.183794400,202426,5,2799.599400000,2061.462600000,738.136800000,35.806460908,true,true,true
Plain_RETF,13,13,2,e5-d2-20260713T121119.183794400,202426,4,2061.462600000,2061.462600000,0.000000000,0.000000000,true,true,true
RETF_A,13,13,2,e5-d2-20260713T121119.183794400,202426,3,2763.848000000,2061.462600000,702.385400000,34.072187388,true,true,true
RETF_C,13,13,2,e5-d2-20260713T121119.183794400,202426,2,2064.654800000,2061.462600000,3.192200000,0.154851221,true,true,true
RETF_H,13,13,2,e5-d2-20260713T121119.183794400,202426,1,2062.929800000,2061.462600000,1.467200000,0.071172768,true,true,true
PP_RETF,14,14,2,e5-d2-20260713T121119.183794400,202526,5,2798.000600000,2051.844800000,746.155800000,36.365118843,true,true,true
Plain_RETF,14,14,2,e5-d2-20260713T121119.183794400,202526,4,2051.844800000,2051.844800000,0.000000000,0.000000000,true,true,true
RETF_A,14,14,2,e5-d2-20260713T121119.183794400,202526,1,2855.028800000,2051.844800000,803.184000000,39.144481103,true,true,true
RETF_C,14,14,2,e5-d2-20260713T121119.183794400,202526,2,2068.038100000,2051.844800000,16.193300000,0.789206864,true,true,true
RETF_H,14,14,2,e5-d2-20260713T121119.183794400,202526,3,2057.447200000,2051.844800000,5.602400000,0.273042094,true,true,true
PP_RETF,15,15,2,e5-d2-20260713T121119.183794400,202626,5,2780.706800000,2053.442900000,727.263900000,35.416806574,true,true,true
Plain_RETF,15,15,2,e5-d2-20260713T121119.183794400,202626,4,2053.442900000,2053.442900000,0.000000000,0.000000000,true,true,true
RETF_A,15,15,2,e5-d2-20260713T121119.183794400,202626,1,2817.516900000,2053.442900000,764.074000000,37.209410595,true,true,true
RETF_C,15,15,2,e5-d2-20260713T121119.183794400,202626,3,2065.552900000,2053.442900000,12.110000000,0.589741258,true,true,true
RETF_H,15,15,2,e5-d2-20260713T121119.183794400,202626,2,2057.043100000,2053.442900000,3.600200000,0.175325060,true,true,true
PP_RETF,16,16,2,e5-d2-20260713T121119.183794400,202726,3,2787.132500000,2062.009900000,725.122600000,35.165815644,true,true,true
Plain_RETF,16,16,2,e5-d2-20260713T121119.183794400,202726,2,2062.009900000,2062.009900000,0.000000000,0.000000000,true,true,true
RETF_A,16,16,2,e5-d2-20260713T121119.183794400,202726,4,2772.360500000,2062.009900000,710.350600000,34.449427231,true,true,true
RETF_C,16,16,2,e5-d2-20260713T121119.183794400,202726,1,2064.760800000,2062.009900000,2.750900000,0.133408671,true,true,true
RETF_H,16,16,2,e5-d2-20260713T121119.183794400,202726,5,2057.190900000,2062.009900000,-4.819000000,-0.233704019,true,true,true
PP_RETF,17,17,2,e5-d2-20260713T121119.183794400,202826,1,2834.577900000,2061.192700000,773.385200000,37.521246800,true,true,true
Plain_RETF,17,17,2,e5-d2-20260713T121119.183794400,202826,5,2061.192700000,2061.192700000,0.000000000,0.000000000,true,true,true
RETF_A,17,17,2,e5-d2-20260713T121119.183794400,202826,4,2772.428800000,2061.192700000,711.236100000,34.506045941,true,true,true
RETF_C,17,17,2,e5-d2-20260713T121119.183794400,202826,3,2059.071600000,2061.192700000,-2.121100000,-0.102906439,true,true,true
RETF_H,17,17,2,e5-d2-20260713T121119.183794400,202826,2,2062.877400000,2061.192700000,1.684700000,0.081734231,true,true,true
PP_RETF,18,18,2,e5-d2-20260713T121119.183794400,202926,2,2798.574100000,2061.529700000,737.044400000,35.752305679,true,true,true
