experiment,source_file,group_json,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""1000""}",descriptor_hash_ms,100,100,100,1.000000000,0.731968100,0.717200000,0.085573725,0.862950000,0.714988417,0.748947783,1.984216935,0.572790000,1.107810000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""1000""}",batch_hash_ms,100,100,100,1.000000000,0.503508700,0.488297500,0.072919302,0.596915000,0.489039929,0.517977471,1.984216935,0.391665000,0.905775000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""1000""}",signature_generate_ms,100,100,100,1.000000000,0.533483250,0.523615000,0.071349124,0.651115000,0.519326036,0.547640464,1.984216935,0.411075000,0.908555000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""1000""}",signature_verify_ms,100,100,100,1.000000000,1.915805200,1.872662500,0.188856306,2.246500000,1.878332012,1.953278388,1.984216935,1.708170000,2.986455000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""1000""}",total_preprocess_ms,100,100,100,1.000000000,1.768960050,1.719720000,0.182747421,2.146605000,1.732698997,1.805221103,1.984216935,1.530455000,2.564695000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""1000""}",pipeline_with_verification_ms,100,100,100,1.000000000,3.684765250,3.586977500,0.338128693,4.218365000,3.617673182,3.751857318,1.984216935,3.279010000,5.551150000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""1000""}",signature_der_bytes,100,100,100,1.000000000,71.030000000,71.000000000,0.702880078,72.000000000,70.890533345,71.169466655,1.984216935,70.000000000,72.000000000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""50""}",descriptor_hash_ms,100,100,100,1.000000000,0.046827800,0.050315000,0.025728558,0.075815000,0.041722696,0.051932904,1.984216935,0.000000000,0.113460000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""50""}",batch_hash_ms,100,100,100,1.000000000,0.024153600,0.012590000,0.026227915,0.063220000,0.018949413,0.029357787,1.984216935,0.000000000,0.084360000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""50""}",signature_generate_ms,100,100,100,1.000000000,0.055564700,0.050727500,0.027722916,0.100755000,0.050063872,0.061065528,1.984216935,0.000000000,0.150320000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""50""}",signature_verify_ms,100,100,100,1.000000000,0.192125850,0.184490000,0.033274802,0.252445000,0.185523407,0.198728293,1.984216935,0.115745000,0.314205000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""50""}",total_preprocess_ms,100,100,100,1.000000000,0.126546100,0.123125000,0.037697451,0.191045000,0.119066108,0.134026092,1.984216935,0.050165000,0.263780000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""50""}",pipeline_with_verification_ms,100,100,100,1.000000000,0.318671950,0.312882500,0.047415782,0.407080000,0.309263630,0.328080270,1.984216935,0.220040000,0.448455000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""50""}",signature_der_bytes,100,100,100,1.000000000,71.110000000,71.000000000,0.694785775,72.000000000,70.972139430,71.247860570,1.984216935,70.000000000,72.000000000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""500""}",descriptor_hash_ms,100,100,100,1.000000000,0.363544300,0.356690000,0.046026854,0.459175000,0.354411574,0.372677026,1.984216935,0.261985000,0.509175000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""500""}",batch_hash_ms,100,100,100,1.000000000,0.244036900,0.240682500,0.031974949,0.301450000,0.237692376,0.250381424,1.984216935,0.175675000,0.341905000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""500""}",signature_generate_ms,100,100,100,1.000000000,0.278508600,0.277205000,0.041614596,0.352180000,0.270251361,0.286765839,1.984216935,0.193480000,0.403520000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""500""}",signature_verify_ms,100,100,100,1.000000000,0.967104600,0.950312500,0.082475717,1.112080000,0.950739629,0.983469571,1.984216935,0.845120000,1.387705000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""500""}",total_preprocess_ms,100,100,100,1.000000000,0.886089800,0.870935000,0.081795446,1.028535000,0.869859809,0.902319791,1.984216935,0.714195000,1.080505000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""500""}",pipeline_with_verification_ms,100,100,100,1.000000000,1.853194400,1.831890000,0.140872833,2.139340000,1.825242174,1.881146626,1.984216935,1.624845000,2.416240000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""500""}",signature_der_bytes,100,100,100,1.000000000,71.020000000,71.000000000,0.738275359,72.000000000,70.873510153,71.166489847,1.984216935,70.000000000,72.000000000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""hash_to_prime"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,2.030190000,2.001550000,1.078997060,3.858300000,1.627286326,2.433093674,2.045227358,0.517000000,5.486400000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""hash_to_prime"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,2.441426667,2.008500000,1.481650239,5.649800000,1.888169993,2.994683340,2.045227358,0.503800000,7.446500000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""member_addition"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,1.637903333,1.515550000,0.546622443,2.509700000,1.433791386,1.842015280,2.045227358,0.530300000,2.513100000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""member_addition"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,1.854623333,1.981250000,0.720612997,2.799600000,1.585542319,2.123704348,2.045227358,0.998800000,4.452800000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""membership_claim_json_size"",""layer"":""two_layer"",""unit"":""bytes""}",value,30,30,30,1.000000000,1920.000000000,1920.000000000,0.000000000,1920.000000000,1920.000000000,1920.000000000,2.045227358,1920.000000000,1920.000000000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""membership_verification"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,1.749226667,1.983050000,0.485243911,2.364100000,1.568033815,1.930419518,2.045227358,0.999800000,3.023600000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""membership_verification"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,1.688473333,1.560900000,0.583286769,2.501300000,1.470670717,1.906275949,2.045227358,0.519900000,2.866600000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""public_accumulator_state_json_size"",""layer"":""two_layer"",""unit"":""bytes""}",value,30,30,30,1.000000000,11550.000000000,11550.000000000,0.000000000,11550.000000000,11550.000000000,11550.000000000,2.045227358,11550.000000000,11550.000000000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""revocation"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,47.947893333,45.867350000,6.915854113,62.048000000,45.365473851,50.530312816,2.045227358,38.970300000,69.809500000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""revocation"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,47.638840000,47.789300000,5.821583168,59.264400000,45.465027547,49.812652453,2.045227358,39.730900000,60.074800000
